influencer_id,influencer_size_category,followers_count,avg_reach,avg_impressions,engagement_rate,avg_engagements_per_post,audience_gender_split,audience_age_split,audience_country_top3,audience_city_top3,follower_growth_rate
1,macro,775972,340007,493361,0.0463,35927,"{'male': 18.6, 'female': 81.4}","{'13-17': 40.91, '18-24': 9.09, '25-34': 7.58, '35-44': 16.67, '45-54': 12.12, '55+': 13.64}","{'UAE': 30.58, 'Germany': 30.58, 'UK': 14.88}","{'Kolkata': 23.95, 'London': 20.96, 'Mumbai': 13.17}",-0.034
2,micro,36895,17112,25656,0.0884,3261,"{'male': 72.22, 'female': 27.78}","{'13-17': 24.0, '18-24': 12.8, '25-34': 7.2, '35-44': 25.6, '45-54': 26.4, '55+': 4.0}","{'USA': 21.77, 'UAE': 20.97, 'UK': 20.16}","{'New York': 23.9, 'Delhi': 20.13, 'London': 16.98}",0.037
3,macro,981988,435010,745764,0.0497,48804,"{'male': 57.41, 'female': 42.59}","{'13-17': 20.59, '18-24': 8.24, '25-34': 14.12, '35-44': 21.76, '45-54': 17.06, '55+': 18.24}","{'India': 25.77, 'UK': 24.74, 'UAE': 17.53}","{'Chennai': 19.9, 'London': 18.41, 'Kolkata': 16.42}",0.055
4,mid,424778,240866,444283,0.052,22088,"{'male': 82.5, 'female': 17.5}","{'13-17': 21.47, '18-24': 19.77, '25-34': 8.47, '35-44': 14.69, '45-54': 19.21, '55+': 16.38}","{'USA': 24.83, 'Germany': 20.13, 'India': 18.79}","{'Mumbai': 23.35, 'Bangalore': 16.77, 'Kolkata': 16.77}",0.063
5,micro,68966,34103,42205,0.085,5862,"{'male': 16.67, 'female': 83.33}","{'13-17': 22.03, '18-24': 31.36, '25-34': 5.93, '35-44': 8.47, '45-54': 16.1, '55+': 16.1}","{'UAE': 26.92, 'India': 25.0, 'Germany': 21.15}","{'Chennai': 24.68, 'Mumbai': 20.89, 'Kolkata': 17.09}",0.105
6,mid,183797,106480,190244,0.0364,6690,"{'male': 84.09, 'female': 15.91}","{'13-17': 13.38, '18-24': 9.86, '25-34': 11.27, '35-44': 28.17, '45-54': 25.35, '55+': 11.97}","{'USA': 27.41, 'Germany': 27.41, 'UAE': 22.96}","{'Bangalore': 26.17, 'New York': 22.15, 'Hyderabad': 20.13}",0.078
7,macro,668265,361467,694140,0.0206,13766,"{'male': 49.02, 'female': 50.98}","{'13-17': 13.33, '18-24': 17.78, '25-34': 25.19, '35-44': 16.3, '45-54': 23.7, '55+': 3.7}","{'UAE': 29.76, 'India': 23.81, 'UK': 20.24}","{'Mumbai': 25.68, 'Kolkata': 14.86, 'London': 14.19}",0.16
8,nano,9717,4588,4742,0.0592,575,"{'male': 36.54, 'female': 63.46}","{'13-17': 10.28, '18-24': 8.41, '25-34': 20.56, '35-44': 27.1, '45-54': 4.67, '55+': 28.97}","{'UK': 32.14, 'Germany': 21.43, 'UAE': 19.64}","{'Mumbai': 19.42, 'Hyderabad': 17.48, 'Bangalore': 12.62}",0.039
9,nano,2509,1222,1527,0.1363,341,"{'male': 48.61, 'female': 51.39}","{'13-17': 7.87, '18-24': 21.91, '25-34': 21.91, '35-44': 17.42, '45-54': 20.22, '55+': 10.67}","{'USA': 31.71, 'India': 30.89, 'UAE': 17.07}","{'Hyderabad': 19.05, 'Kolkata': 18.57, 'London': 17.14}",0.089
10,mega,3125543,1465969,1774552,0.0158,49383,"{'male': 58.06, 'female': 41.94}","{'13-17': 20.17, '18-24': 11.76, '25-34': 9.24, '35-44': 14.29, '45-54': 30.25, '55+': 14.29}","{'UAE': 26.77, 'Germany': 23.62, 'UK': 21.26}","{'Hyderabad': 18.63, 'Bangalore': 18.14, 'Kolkata': 16.67}",0.185
11,mid,435867,238163,366080,0.0662,28854,"{'male': 57.81, 'female': 42.19}","{'13-17': 4.83, '18-24': 24.83, '25-34': 22.76, '35-44': 15.17, '45-54': 27.59, '55+': 4.83}","{'UK': 36.7, 'Germany': 25.69, 'India': 17.43}","{'Mumbai': 20.51, 'Chennai': 20.51, 'Delhi': 16.03}",0.188
12,mega,1719182,729153,923211,0.0168,28882,"{'male': 62.5, 'female': 37.5}","{'13-17': 16.1, '18-24': 18.64, '25-34': 10.17, '35-44': 16.1, '45-54': 13.56, '55+': 25.42}","{'UAE': 26.61, 'Germany': 26.61, 'India': 19.35}","{'Mumbai': 20.28, 'Kolkata': 18.18, 'Chennai': 16.78}",0.057
13,nano,1051,479,891,0.1299,136,"{'male': 20.45, 'female': 79.55}","{'13-17': 8.28, '18-24': 4.14, '25-34': 11.03, '35-44': 26.21, '45-54': 25.52, '55+': 24.83}","{'Germany': 29.55, 'India': 25.0, 'USA': 19.32}","{'Chennai': 17.51, 'London': 17.05, 'Kolkata': 13.82}",0.17
14,mid,361506,175106,255708,0.0279,10086,"{'male': 61.29, 'female': 38.71}","{'13-17': 25.32, '18-24': 17.09, '25-34': 8.86, '35-44': 14.56, '45-54': 23.42, '55+': 10.76}","{'UK': 28.36, 'Germany': 26.87, 'India': 25.37}","{'New York': 29.84, 'Hyderabad': 17.74, 'Mumbai': 13.71}",0.047
15,micro,39978,21175,30142,0.0826,3302,"{'male': 50.0, 'female': 50.0}","{'13-17': 22.4, '18-24': 7.2, '25-34': 9.6, '35-44': 30.4, '45-54': 26.4, '55+': 4.0}","{'Germany': 33.33, 'USA': 26.85, 'UAE': 18.52}","{'London': 21.14, 'Chennai': 17.71, 'Hyderabad': 16.57}",0.024
16,mid,189211,110161,149735,0.0645,12204,"{'male': 46.88, 'female': 53.12}","{'13-17': 25.0, '18-24': 22.22, '25-34': 12.5, '35-44': 13.19, '45-54': 12.5, '55+': 14.58}","{'USA': 31.2, 'UAE': 26.4, 'India': 22.4}","{'New York': 18.96, 'Delhi': 17.54, 'Chennai': 15.64}",-0.015
17,micro,33961,15856,29989,0.0909,3087,"{'male': 14.89, 'female': 85.11}","{'13-17': 17.29, '18-24': 6.02, '25-34': 5.26, '35-44': 30.08, '45-54': 15.04, '55+': 26.32}","{'India': 35.35, 'UK': 23.23, 'USA': 18.18}","{'Chennai': 17.24, 'New York': 17.24, 'London': 16.75}",0.09
18,mid,459517,205371,290317,0.0485,22286,"{'male': 43.66, 'female': 56.34}","{'13-17': 13.92, '18-24': 22.15, '25-34': 19.62, '35-44': 17.09, '45-54': 6.33, '55+': 20.89}","{'India': 30.99, 'USA': 28.17, 'UK': 22.54}","{'Chennai': 22.08, 'Bangalore': 20.78, 'Kolkata': 14.29}",0.146
19,macro,515820,244112,353147,0.0393,20271,"{'male': 47.14, 'female': 52.86}","{'13-17': 18.67, '18-24': 3.33, '25-34': 12.67, '35-44': 24.0, '45-54': 19.33, '55+': 22.0}","{'India': 25.6, 'USA': 25.6, 'Germany': 19.2}","{'London': 21.86, 'Chennai': 20.77, 'New York': 14.21}",0.094
20,mid,138153,63909,102414,0.027,3730,"{'male': 18.75, 'female': 81.25}","{'13-17': 8.24, '18-24': 32.94, '25-34': 11.76, '35-44': 24.71, '45-54': 9.41, '55+': 12.94}","{'India': 21.66, 'USA': 21.02, 'UAE': 19.75}","{'Delhi': 20.63, 'Hyderabad': 18.52, 'London': 16.93}",-0.046
